cid,Probability of nongelator,Probability of gelator
21140467,0.5472727953704621,0.4527272046295378
455411,0.5472829434964899,0.4527170565035102
495012,0.5473243938830662,0.4526756061169338
513276,0.5474327167713215,0.4525672832286784
1210964,0.5474403927627389,0.452559607237261
71763627,0.5475155335048252,0.4524844664951748
46846349,0.5475474830426048,0.4524525169573952
121486843,0.5476505051435844,0.4523494948564156
3012563,0.5476529858994679,0.4523470141005321
493443,0.5477233064742839,0.45227669352571614
600164,0.5477233064742839,0.45227669352571614
23629091,0.5477522172519302,0.4522477827480698
53908939,0.5478062758662456,0.45219372413375436
5274087,0.5478070405448359,0.45219295945516413
7045516,0.5478126112155031,0.45218738878449694
5894,0.5478126112155031,0.45218738878449694
513122,0.5478126112155031,0.45218738878449694
513124,0.5478126112155031,0.45218738878449694
129561,0.5478375096583787,0.4521624903416213
86751195,0.5480123890441038,0.45198761095589624
270503,0.5483062065292198,0.4516937934707802
92161781,0.5483062065292198,0.4516937934707802
464404,0.5483635765289439,0.45163642347105615
68413668,0.5484109793659181,0.4515890206340819
42601468,0.548443990173353,0.451556009826647
46846348,0.548505773918839,0.45149422608116097
492200,0.5485093376708636,0.45149066232913637
295521,0.5485379321370845,0.45146206786291554
134088,0.5485969130770131,0.4514030869229869
502240,0.5486048802522873,0.45139511974771274
135409780,0.5487495663393398,0.4512504336606602
6398669,0.5488092491812475,0.45119075081875243
133636852,0.5488092491812475,0.45119075081875243
6928544,0.5488092491812475,0.45119075081875243
23638944,0.5488092491812475,0.45119075081875243
142,0.5488092491812475,0.45119075081875243
25201172,0.5488092491812475,0.45119075081875243
449044,0.5488092491812475,0.45119075081875243
40467848,0.5488092491812475,0.45119075081875243
124363198,0.5488092491812475,0.45119075081875243
40467849,0.5488092491812475,0.45119075081875243
59731278,0.5488092491812475,0.45119075081875243
1277776,0.5488092491812475,0.45119075081875243
439182,0.5488092491812475,0.45119075081875243
121487055,0.5488317332248311,0.45116826677516886
459906,0.548890243011686,0.451109756988314
477851,0.5490208249650361,0.4509791750349639
124201,0.5490556496224263,0.45094435037757374
92234642,0.5491514819840799,0.4508485180159201
503813,0.5491630885508219,0.4508369114491782
3008896,0.5491807003926755,0.4508192996073245
154701266,0.5491941187542266,0.4508058812457734
9862185,0.5492000195147504,0.45079998048524955
390386,0.5492315794376101,0.4507684205623899
125255,0.5492315794376101,0.4507684205623899
130783,0.5492917424064772,0.4507082575935228
11601179,0.5492917424064772,0.4507082575935228
3010354,0.5493543814421782,0.45064561855782187
71362645,0.5493621634148445,0.4506378365851555
496474,0.5494051841018477,0.45059481589815226
391266,0.5494051841018477,0.45059481589815226
452097,0.5494692230896172,0.4505307769103828
14430375,0.5494692230896172,0.4505307769103828
21817596,0.5495271007413678,0.45047289925863215
92237069,0.5495271007413678,0.45047289925863215
276398,0.5495271007413678,0.45047289925863215
502238,0.5495944999981413,0.45040550000185875
24885222,0.5496474734346946,0.4503525265653055
