,Statistics,Pvalues,Difference_mean,Log_P
D/Dtr05,-1.1067431421857195,0.26840499703722065,1.1867691618182914,1.3152582561845205
D/Dtr06,-0.5014929863029041,0.6160242127017406,0.8575996616403916,0.4844690098870965
D/Dtr07,0.0,1.0,,-0.0
D/Dtr08,0.0,1.0,,-0.0
D/Dtr09,1.3257860557433097,0.1849105731058397,0.4655237856839267,1.6878829593908364
D/Dtr10,0.0,1.0,,-0.0
D/Dtr11,0.0,1.0,,-0.0
D/Dtr12,0.0,1.0,,-0.0
ZM1,-0.13257860557433096,0.8945266533131705,1.0714285714285714,0.11146057959279804
ZM1V,0.8127644950426377,0.4163530955742053,0.9788732394366197,0.8762215912992339
ZM1Kup,1.0606288445946477,0.2888586085768071,0.9828657909875667,1.241817954267311
ZM1Mad,0.03458572319330373,0.9724100859310765,1.067492838228166,0.027977664390055463
ZM1Per,0.3458572319330373,0.7294500113144082,0.9750653545798158,0.31546443795335705
ZM1MulPer,0.9453431006169687,0.344483740910144,0.9795430566193509,1.065708385839169
ZM2,-0.1902214775631705,0.8491355817199183,1.0675675675675675,0.1635364096376257
ZM2V,0.0,1.0,0.9816272965879265,-0.0
ZM2Kup,0.07493573358549142,0.9402658451828672,0.9559962437165119,0.06159262967810831
ZM2Mad,-0.17292861596651865,0.8627075382114653,1.0634560574871377,0.14767953500864384
ZM2Per,0.09222859518214328,0.9265164191921244,0.9647280647573225,0.07632351167373526
ZM2MulPer,0.0,1.0,0.9828672598579489,-0.0
ON0,0.6859501766671907,0.49274452735210217,0.9142857142857141,0.7077644393486754
ON0V,0.8242930694404056,0.40977305560348154,0.928746928746929,0.8921517954524861
ON1,0.3170357959386175,0.751216440960708,0.9730392156862743,0.28606146506466124
ON1V,0.766650197451566,0.4432895215684769,0.8438105489773969,0.8135321748475655
Qindex,-1.2277931733622824,0.21952461898960884,1.0588235294117647,1.516290893350344
BBI,-0.16140004156875074,0.871778333934971,1.054054054054054,0.1372200915915374
DBI,1.2566146093567023,0.20889322199156546,0.732719146161512,1.5659320571328632
SNar,-0.2651572111486619,0.7908883559462445,1.113979700036419,0.23459846410118493
HNar,-1.809986180449562,0.07029793027249899,1.0161083392729848,2.6550129219574012
GNar,-1.9771505092171966,0.04802461988432143,1.0189645203693587,3.0360414853131052
Xt,0.2651572111486619,0.7908883559462445,0.9556678176443343,0.23459846410118493
Dz,0.28821435994419775,0.7731826573146688,0.9586776859504132,0.25723996165291485
Ram,-0.42079296551852874,0.6739062688008323,1.0,0.3946642448016301
BLI,1.550593256499784,0.1209991892212295,0.9663258034033351,2.1119714340588414
Pol,0.0,1.0,1.025,-0.0
LPRS,0.25362863675089403,0.7997824709404349,0.9845632409483807,0.22341549961325305
MSD,0.386207242325225,0.6993431904720091,0.924610212140907,0.3576136837428012
SPI,0.8012359206448698,0.4229950796939508,0.9281629348022687,0.8603947319327049
PJI2,0.8473502182359414,0.3967999433819219,1.0,0.9243230462581182
ECC,0.44385011431406457,0.6571509534273993,0.8498098859315589,0.419841525203161
AECC,0.5591358582917436,0.5760690040452272,0.9533579385167756,0.5515278267719053
DECC,0.9568716750147366,0.33863202947629767,0.9413413494415047,1.0828412199106936
MDDD,0.4092643911207608,0.6823456445733613,0.8514627062174913,0.38221893929873096
UNIP,0.3746786679274571,0.7078994589853796,0.875,0.34545320245517486
CENT,0.2651572111486619,0.7908883559462445,1.0452538631346577,0.23459846410118493
